ico_smluvni_strany;castka;nazev_smluvni_strany;predmet;publikovano;hodnota_raw
47114983;;Česká pošta, s.p.;veřejnoprávní smlouva o přenesení výkonu působnosti v oblasti doručování - hromadná konverzní pošta (hybridní);04.02.2026;Neuvedeno
66362717;192256,0;SPRÁVA INFORMAČNÍCH TECHNOLOGIÍ MĚSTA PLZNĚ, příspěvková organizace;Smlouva o podmínkách realizace projektu (SoPR) - 246/PP3;04.02.2026;192 256 EUR
04095316;192256,0;Centrum pro regionální rozvoj České republiky;Smlouva o podmínkách realizace projektu (SoPR) - 246/PP3;04.02.2026;192 256 EUR
70889953;160000,0;Povodí Vltavy, státní podnik;Smlouva o podmínkách realizace projektu (SoPR) - 261/PP3;04.02.2026;160 000 EUR
04095316;160000,0;Centrum pro regionální rozvoj České republiky;Smlouva o podmínkách realizace projektu (SoPR) - 261/PP3;04.02.2026;160 000 EUR
66002222;15000000,0;Ministerstvo pro místní rozvoj;DODATEK Č. 1 k Objednávce na Cloudové Služby č. MMR_OBJ_01_2025_prodloužení termínu plnění a navýšení hodnoty objednávky;03.02.2026;15 000 000 CZK bez DPH
47114983;;Česká pošta, s.p.;veřejnoprávní smlouvy - Veřejnoprávní smlouva o přenesení výkonu působnosti v oblasti doručování;03.02.2026;Neuvedeno
66002222;;Ministerstvo pro místní rozvoj;veřejnoprávní smlouvy - Veřejnoprávní smlouva o přenesení výkonu působnosti v oblasti doručování;03.02.2026;Neuvedeno
24264369;15000000,0;Global Catering, s.r.o.;Rámcová dohoda na zajištění cateringových služeb pro MMR;03.02.2026;15 000 000 CZK bez DPH
28123395;445595,0;Artspect, a.s.;Dílčí objednávka č. 15, CES 6470 nákup kancelářského nábytku;03.02.2026;445 595 CZK bez DPH
47114983;;Česká pošta, s.p.;Veřejnoprávní smlouva o přenesení výkonu působnosti v oblasti doručování;02.02.2026;Neuvedeno
66002222;;Ministerstvo pro místní rozvoj;Veřejnoprávní smlouva o přenesení výkonu působnosti v oblasti doručování;02.02.2026;Neuvedeno
47114983;;Česká pošta, s.p.;Veřejnoprávní smlouva o přenesení výkonu působnosti v oblasti doručování;02.02.2026;Neuvedeno
